condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
lead_under_30,0,250,0.828,0.344,0.724,0.6976744186046512,0.7294685990338164,0.484,30,56,151,13
no_deposit,0,250,0.724,0.304,0.956,0.9710144927536232,0.9502762430939227,0.42,67,9,172,2
lead_90_180,0,250,0.524,0.476,0.984,0.9831932773109243,0.9847328244274809,0.04800000000000004,117,2,129,2
has_special_requests,0,250,0.74,0.268,0.944,0.9076923076923077,0.9567567567567568,0.472,59,8,177,6
no_prev_cancel,0,250,0.652,0.36,0.98,0.9885057471264368,0.9754601226993865,0.29200000000000004,86,4,159,1
no_special_requests,0,250,0.476,0.524,1.0,1.0,1.0,-0.04800000000000004,131,0,119,0
lead_under_30_special,0,250,0.86,0.632,0.372,0.5142857142857142,0.3488372093023256,0.22799999999999998,18,140,75,17
lead_30_90,0,250,0.56,0.44,0.968,0.9636363636363636,0.9714285714285714,0.12000000000000005,106,4,136,4
repeated_special,0,250,0.932,0.648,0.34,0.4117647058823529,0.33476394849785407,0.28400000000000003,7,155,78,10
lead_under_7,0,250,0.872,0.368,0.68,0.6875,0.6788990825688074,0.504,22,70,148,10
