condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.56,0.588,0.148,0.2,0.10714285714285714,-0.027999999999999914,22,125,15,88
lead_90_180,0.554,250,0.56,0.544,0.144,0.14545454545454545,0.14285714285714285,0.016000000000000014,16,120,20,94
lead_30_90,0.622,249,0.5863453815261044,0.5863453815261044,0.17670682730923695,0.21359223300970873,0.1506849315068493,0.0,22,124,22,81
no_prev_cancel,0.661,250,0.596,0.608,0.124,0.16831683168316833,0.09395973154362416,-0.01200000000000001,17,135,14,84
no_deposit,0.716,250,0.748,0.692,0.128,0.14285714285714285,0.12299465240641712,0.05600000000000005,9,164,23,54
has_special_requests,0.783,248,0.7056451612903226,0.7137096774193549,0.14516129032258066,0.2602739726027397,0.09714285714285714,-0.008064516129032251,19,158,17,54
lead_under_30,0.818,248,0.7701612903225806,0.7620967741935484,0.10483870967741936,0.21052631578947367,0.07329842931937172,0.008064516129032251,12,177,14,45
lead_under_30_special,0.866,250,0.748,0.76,0.18,0.38095238095238093,0.11229946524064172,-0.01200000000000001,24,166,21,39
lead_under_7,0.906,250,0.884,0.864,0.1,0.3448275862068966,0.06787330316742081,0.020000000000000018,10,206,15,19
repeated_special,0.95,246,0.9227642276422764,0.8577235772357723,0.12195121951219512,0.3684210526315789,0.1013215859030837,0.06504065040650409,7,204,23,12
