condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_25,0,250,0.904,0.14,0.956,1.0,0.9513274336283186,0.764,24,11,215,0
fico_650_700_dti_under_20,0,250,0.868,0.132,0.992,0.9696969696969697,0.9953917050691244,0.736,32,1,216,1
loan_over_25000,0,250,0.864,0.172,0.964,1.0,0.9583333333333334,0.692,34,9,207,0
fico_over_750_dti_under_20,0,250,0.888,0.384,0.672,0.75,0.6621621621621622,0.504,21,75,147,7
dti_under_10,0,250,0.844,0.224,0.924,0.9743589743589743,0.9146919431279621,0.62,38,18,193,1
fico_over_700,0,250,0.896,0.244,0.86,1.0,0.84375,0.652,26,35,189,0
fico_over_750_loan_under_20000,0,250,0.94,0.288,0.756,0.8666666666666667,0.7489361702127659,0.6519999999999999,13,59,176,2
fico_650_680,0,250,0.872,0.128,1.0,1.0,1.0,0.744,32,0,218,0
dti_over_30,0,250,0.916,0.116,0.968,1.0,0.9650655021834061,0.8,21,8,221,0
loan_under_5000,0,250,0.92,0.128,0.944,0.95,0.9434782608695652,0.792,19,13,217,1
