condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_troll,0.52,250,0.636,0.612,0.08,0.07692307692307693,0.08176100628930817,0.02400000000000002,7,146,13,84
contains_vandal,0.61,249,0.678714859437751,0.6265060240963856,0.09236947791164658,0.0625,0.10650887573964497,0.052208835341365445,5,151,18,75
contains_stop,0.67,249,0.6987951807228916,0.7068273092369478,0.08032128514056225,0.14666666666666667,0.05172413793103448,-0.008032128514056214,11,165,9,64
contains_love,0.74,250,0.732,0.724,0.064,0.1044776119402985,0.04918032786885246,0.008000000000000007,7,174,9,60
contains_wikipedia,0.85,250,0.784,0.768,0.048,0.07407407407407407,0.04081632653061224,0.016000000000000014,4,188,8,50
contains_page,0.87,250,0.864,0.872,0.032,0.14705882352941177,0.013888888888888888,-0.008000000000000007,5,213,3,29
contains_article,0.92,250,0.828,0.812,0.056,0.11627906976744186,0.043478260869565216,0.015999999999999903,5,198,9,38
contains_please,0.92,248,0.8991935483870968,0.8790322580645161,0.028225806451612902,0.04,0.026905829596412557,0.020161290322580627,1,217,6,24
contains_link,0.94,247,0.8704453441295547,0.8380566801619433,0.06477732793522267,0.125,0.05581395348837209,0.03238866396761131,4,203,12,28
contains_thank,0.96,248,0.9233870967741935,0.8991935483870968,0.04032258064516129,0.10526315789473684,0.034934497816593885,0.024193548387096753,2,221,8,17
