condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
lead_under_30,0,250,0.824,0.28,0.8,0.7272727272727273,0.8155339805825242,0.5439999999999999,32,38,168,12
has_special_requests,0,250,0.74,0.296,0.932,0.9384615384615385,0.9297297297297298,0.444,61,13,172,4
lead_under_30_special,0,250,0.876,0.188,0.92,0.9354838709677419,0.9178082191780822,0.688,29,18,201,2
no_special_requests,0,250,0.48,0.504,0.72,0.7153846153846154,0.725,-0.02400000000000002,93,33,87,37
lead_90_180,0,250,0.524,0.432,0.812,0.7563025210084033,0.8625954198473282,0.09200000000000003,90,18,113,29
no_prev_cancel,0,250,0.652,0.404,0.808,0.8045977011494253,0.8098159509202454,0.248,70,31,132,17
lead_under_7,0,250,0.876,0.288,0.772,0.7419354838709677,0.776255707762557,0.5880000000000001,23,49,170,8
repeated_special,0,250,0.924,0.188,0.872,0.8947368421052632,0.8701298701298701,0.736,17,30,201,2
lead_30_90,0,250,0.56,0.436,0.796,0.7636363636363637,0.8214285714285714,0.12400000000000005,84,25,115,26
no_deposit,0,250,0.724,0.368,0.796,0.7971014492753623,0.7955801104972375,0.356,55,37,144,14
