condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_25,0,250,0.844,0.728,0.284,0,0,0,21,161,50,18
fico_650_680,0,250,0.792,0.748,0.292,0,0,0,31,156,42,21
loan_over_25000,0,250,0.864,0.724,0.22,0,0,0,10,171,45,24
fico_650_700_dti_under_20,0,250,0.816,0.728,0.216,0,0,0,16,166,38,30
fico_over_750_dti_under_20,0,250,0.872,0.856,0.112,0,0,0,12,202,16,20
dti_under_10,0,250,0.852,0.668,0.256,0,0,0,9,158,55,28
fico_over_750_loan_under_20000,0,250,0.896,0.888,0.12,0,0,0,14,208,16,12
dti_over_30,0,250,0.868,0.672,0.316,0,0,0,15,153,64,18
fico_over_700,0,250,0.852,0.856,0.1,0,0,0,13,201,12,24
loan_under_5000,0,250,0.92,0.7,0.332,0,0,0,14,161,69,6
