condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_link,0,250,0.92,0.584,0.48,0.9,0.4434782608695652,0.3360000000000001,18,128,102,2
contains_please,0,250,0.936,0.54,0.524,1.0,0.49145299145299143,0.396,16,119,115,0
contains_article,0,250,0.9,0.552,0.508,0.8,0.47555555555555556,0.348,20,118,107,5
contains_thank,0,250,0.976,0.62,0.38,0.5,0.3770491803278688,0.356,3,152,92,3
contains_wikipedia,0,250,0.844,0.484,0.64,0.8974358974358975,0.5924170616113744,0.36,35,86,125,4
contains_vandal,0,250,0.588,0.444,0.928,0.9514563106796117,0.9115646258503401,0.14399999999999996,98,13,134,5
contains_page,0,250,0.876,0.52,0.588,0.9354838709677419,0.5388127853881278,0.356,29,101,118,2
contains_stop,0,250,0.688,0.42,0.868,0.9615384615384616,0.8255813953488372,0.26799999999999996,75,30,142,3
contains_love,0,250,0.724,0.42,0.832,0.9565217391304348,0.7845303867403315,0.304,66,39,142,3
contains_troll,0,250,0.552,0.464,0.984,1.0,0.9710144927536232,0.08800000000000002,112,4,134,0
