condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_050_070,0,250,0.72,0.476,0.5,0.45714285714285713,0.5166666666666667,0.244,32,87,93,38
avg_diff_over_200,0,250,0.936,0.612,0.38,0.4375,0.37606837606837606,0.32400000000000007,7,146,88,9
avg_diff_030_050,0,250,0.66,0.496,0.556,0.5764705882352941,0.5454545454545454,0.16400000000000003,49,75,90,36
avg_diff_015_030,0,250,0.616,0.536,0.48,0.5208333333333334,0.45454545454545453,0.07999999999999996,50,84,70,46
avg_diff_100_130,0,250,0.848,0.508,0.452,0.3684210526315789,0.4669811320754717,0.33999999999999997,14,113,99,24
avg_diff_under_005,0,250,0.6,0.512,0.592,0.63,0.5666666666666667,0.08799999999999997,63,65,85,37
avg_diff_005_015,0,250,0.624,0.532,0.524,0.574468085106383,0.4935897435897436,0.09199999999999997,54,79,77,40
avg_diff_160_200,0,250,0.932,0.616,0.388,0.5294117647058824,0.3776824034334764,0.31600000000000006,9,145,88,8
avg_diff_130_160,0,250,0.896,0.564,0.404,0.34615384615384615,0.4107142857142857,0.3320000000000001,9,132,92,17
avg_diff_070_100,0,250,0.832,0.54,0.444,0.4523809523809524,0.4423076923076923,0.2919999999999999,19,116,92,23
