condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_070_100,0,250,0.832,0.736,0.176,0.23809523809523808,0.16346153846153846,0.09599999999999997,10,174,34,32
avg_diff_over_200,0,250,0.944,0.852,0.108,0.14285714285714285,0.1059322033898305,0.09199999999999997,2,211,25,12
avg_diff_130_160,0,250,0.884,0.808,0.116,0.1724137931034483,0.1085972850678733,0.07599999999999996,5,197,24,24
avg_diff_030_050,0,250,0.656,0.556,0.244,0.20930232558139536,0.2621951219512195,0.09999999999999998,18,121,43,68
avg_diff_100_130,0,250,0.844,0.756,0.144,0.1794871794871795,0.13744075829383887,0.08799999999999997,7,182,29,32
avg_diff_under_005,0,250,0.58,0.56,0.332,0.37142857142857144,0.30344827586206896,0.019999999999999907,39,101,44,66
avg_diff_015_030,0,250,0.624,0.536,0.208,0.1595744680851064,0.23717948717948717,0.08799999999999997,15,119,37,79
avg_diff_160_200,0,250,0.924,0.852,0.112,0.2631578947368421,0.09956709956709957,0.07200000000000006,5,208,23,14
avg_diff_005_015,0,250,0.612,0.54,0.272,0.25773195876288657,0.28104575163398693,0.07199999999999995,25,110,43,72
avg_diff_050_070,0,250,0.72,0.596,0.188,0.11428571428571428,0.21666666666666667,0.124,8,141,39,62
